filename,result,time_seconds
0001.TIF,0288,1.362
0002.TIF,8826,1.154
0003.TIF,7383,1.058
0004.TIF,0054,1.128
0005.TIF,0055,1.828
0006.TIF,4831,3.638
0007.TIF,9678,2.342
0008.TIF,8693,2.113
0009.TIF,9138,1.665
0010.TIF,8132,1.44
0011.TIF,5407,1.19
0012.TIF,7667,1.236
0013.TIF,6278,1.175
0014.TIF,9553,1.159
0015.TIF,3394,1.887
0016.TIF,0053,1.296
0017.TIF,4417,1.999
0018.TIF,1867,1.318
0019.TIF,3398,1.134
0020.TIF,1726,1.077
0021.TIF,8196,1.148
0022.TIF,0050359,1.339
0023.TIF,8193,1.206
0024.TIF,75101,1.728
0025.TIF,8229,1.571
0026.TIF,9808,1.568
0027.TIF,8181,1.551
0028.TIF,0291,1.649
0029.TIF,491,1.404
0030.TIF,0007,1.257
0031.TIF,6184,1.167
0032.TIF,7,1.206
0033.TIF,0685,1.25
0034.TIF,3505,1.278
0035.TIF,1246,1.378
0036.TIF,4620,1.302
0037.TIF,4561,1.156
0038.TIF,3882,1.227
0039.TIF,006,1.329
0040.TIF,2388,1.286
0041.TIF,5461,1.232
0042.TIF,8254,1.382
0043.TIF,4092,1.345
0044.TIF,1756,1.26
0045.TIF,4161,1.442
0046.TIF,4093,1.309
0047.TIF,3460,1.169
0048.TIF,2050,1.258
0049.TIF,1413,1.188
0050.TIF,877,1.373
0051.TIF,88033,1.56
0052.TIF,1057,1.457
0053.TIF,1416,1.149
0054.TIF,8078,1.237
0055.TIF,7576,1.078
0056.TIF,4022,1.163
0057.TIF,7401,1.108
0058.TIF,8805,1.107
0059.TIF,801,1.08
0060.TIF,2460,1.141
0061.TIF,2182,1.188
0062.TIF,3231,1.193
0063.TIF,3571,1.229
0064.TIF,6804,1.167
0065.TIF,0879,1.181
0066.TIF,4929,1.722
0067.TIF,0305,1.625
0068.TIF,68,1.187
0069.TIF,0007,1.249
0070.TIF,1275,1.249
0071.TIF,4894,1.141
0072.TIF,01,1.197
0073.TIF,6711,1.195
0074.TIF,4975,1.31
0075.TIF,7405,1.23
0076.TIF,3143,1.215
0077.TIF,2613,1.212
0078.TIF,5054,1.319
0079.TIF,8312,1.367
0080.TIF,3276,1.238
0081.TIF,0977,1.28
0082.TIF,2182,1.225
0083.TIF,5823,1.211
0084.TIF,8011,1.386
0085.TIF,1201,1.173
0086.TIF,8182,1.102
0087.TIF,1870,1.118
0088.TIF,9308,1.084
0089.TIF,9260,1.157
0090.TIF,297,1.166
0091.TIF,5664,1.219
0092.TIF,8304,1.362
0093.TIF,9269,1.316
0094.TIF,9294,1.376
0095.TIF,9279,1.35
0096.TIF,9275,1.255
0097.TIF,9273,1.412
0098.TIF,2263,1.211
0099.TIF,5665,1.313
0100.TIF,31010,1.224
0101.TIF,9274,1.316
0102.TIF,5778,1.445
0103.TIF,8305,1.341
0104.TIF,9288,1.259
0105.TIF,360,1.382
0106.TIF,9276,1.353
0107.TIF,9267,1.35
0108.TIF,2504,1.36
0109.TIF,14034,1.498
0110.TIF,2303,1.24
0111.TIF,2325,1.232
0112.TIF,2524,1.325
0113.TIF,2308,1.329
0114.TIF,9179,1.316
0115.TIF,091,1.24
0116.TIF,7766,1.232
0117.TIF,7767,1.279
0118.TIF,9179,1.182
0119.TIF,8967,1.215
0120.TIF,0805,1.208
0121.TIF,3935,1.225
0122.TIF,5461,1.202
0123.TIF,5456,1.204
0124.TIF,9689,1.216
0125.TIF,6858,1.223
0126.TIF,0938,1.298
0127.TIF,2498,1.228
0128.TIF,1806,1.288
0129.TIF,9063,1.362
0130.TIF,2448,1.254
0131.TIF,7789,1.486
0132.TIF,7356,1.428
0133.TIF,4612,1.346
0134.TIF,4613,1.574
0135.TIF,4196,1.237
0136.TIF,3019,1.352
0137.TIF,6988,1.629
0138.TIF,0454,1.492
0139.TIF,489,1.441
0140.TIF,8637,1.666
0141.TIF,9629,1.915
0142.TIF,9656,1.459
0143.TIF,9632,1.87
0144.TIF,182,1.344
0145.TIF,4441,1.336
0146.TIF,1703,1.29
0147.TIF,1702,1.31
0148.TIF,2725,1.317
0149.TIF,9594,1.429
0150.TIF,9666,1.323
0151.TIF,9663,1.367
0152.TIF,9620,1.421
0153.TIF,9641,1.418
0154.TIF,9623,1.417
0155.TIF,9653,1.718
0156.TIF,9626,1.76
0157.TIF,0909,1.418
0158.TIF,9625,1.287
0159.TIF,9633,1.259
0160.TIF,9621,1.476
0161.TIF,0609,1.526
0162.TIF,55,1.274
0163.TIF,26455,1.385
0164.TIF,0828,1.228
0165.TIF,0377,1.277
0166.TIF,9425,1.299
0167.TIF,2642,1.914
0168.TIF,2648,1.946
0169.TIF,47316402,1.597
0170.TIF,9993,1.15
0171.TIF,2643,1.302
0172.TIF,6488,1.394
0173.TIF,6496,1.403
0174.TIF,5466,1.317
0175.TIF,2647,1.473
0176.TIF,6492,1.592
0177.TIF,6489,1.273
0178.TIF,2997,1.238
0179.TIF,8367,1.283
0180.TIF,6051,1.334
0181.TIF,0276,1.402
0182.TIF,2651,1.705
0183.TIF,5133,1.399
0184.TIF,0816,1.5
0185.TIF,9303,1.518
0186.TIF,1019,1.64
0187.TIF,1581,1.887
0188.TIF,0673,1.921
0189.TIF,3822,1.627
0190.TIF,0671,1.4
0191.TIF,5249,1.237
0192.TIF,5019,1.211
0193.TIF,0813,1.297
0194.TIF,1037,1.186
0195.TIF,3638,1.192
0196.TIF,5435,1.236
0197.TIF,9420,1.094
0198.TIF,6117,1.166
0199.TIF,5586,1.264
0200.TIF,3657,1.231
0201.TIF,7782,1.286
0202.TIF,7580,1.195
0203.TIF,9388,1.251
0204.TIF,5585,1.214
0205.TIF,1318,1.383
0206.TIF,1365,1.29
0207.TIF,1406,1.353
0208.TIF,1301,1.172
0209.TIF,1320,1.341
0210.TIF,1374,1.255
0211.TIF,1413,1.295
0212.TIF,1360,1.295
0213.TIF,1321,1.436
0214.TIF,1391,1.326
0215.TIF,1302,1.221
0216.TIF,1590,1.234
0217.TIF,1306,1.186
0218.TIF,1319,1.103
0219.TIF,0265,1.2
0220.TIF,1346,1.036
0221.TIF,0602,1.39
0222.TIF,1358,1.46
0223.TIF,1375,1.281
0224.TIF,1419,1.223
0225.TIF,1417,1.405
0226.TIF,1327,1.203
0227.TIF,1340,1.228
0228.TIF,0265,1.159
0229.TIF,3314,1.243
0230.TIF,6170,1.251
0231.TIF,3271,1.292
0232.TIF,1271,1.241
0233.TIF,3004,1.163
0234.TIF,1205,1.179
0235.TIF,1384,1.18
0236.TIF,1273,1.175
0237.TIF,ERROR_LOADING,0
0238.TIF,ERROR_LOADING,0
0239.TIF,5223,1.157
0240.TIF,3818,1.167
0241.TIF,78,1.114
0242.TIF,1876,1.201
0243.TIF,1225,1.331
0244.TIF,1042,1.421
0245.TIF,9794,1.372
0246.TIF,1625,1.441
0247.TIF,4704,1.195
0248.TIF,2918,1.189
0249.TIF,2236,1.13
0250.TIF,2872,1.257
0251.TIF,2677,1.48
0252.TIF,2218,1.265
0253.TIF,2708,1.275
0254.TIF,2662,1.144
0255.TIF,22531,1.263
0256.TIF,2629,1.157
0257.TIF,2666,1.248
0258.TIF,,1.36
0259.TIF,2681,1.414
0260.TIF,2284,1.173
0261.TIF,2668,1.44
0262.TIF,2205,1.388
0263.TIF,2294,1.262
0264.TIF,2706,1.207
0265.TIF,224,1.211
0266.TIF,2701,1.241
0267.TIF,2233,1.187
0268.TIF,225,1.141
0269.TIF,3516,1.081
0270.TIF,3840,1.292
0271.TIF,03558,1.314
0272.TIF,5099,1.515
0273.TIF,8853,1.231
0274.TIF,0289,1.154
0275.TIF,3618,1.28
0276.TIF,1798,1.199
0277.TIF,4230,1.594
0278.TIF,4544,1.261
0279.TIF,,1.072
0280.TIF,,1.074
0281.TIF,8660,1.146
0282.TIF,1100,1.239
0283.TIF,2738,1.189
0284.TIF,0221,1.47
0285.TIF,78633996,1.196
0286.TIF,2299,1.114
0287.TIF,3906,1.141
0288.TIF,1685,1.164
0289.TIF,0255,1.23
0290.TIF,7254,1.26
0291.TIF,0567,1.218
0292.TIF,7990,1.488
